sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
209,2.041015625,3.255238434,0.271559013,9.138884681,26.23680681,-24.0176813,71.30421351
210,2.05078125,3.182534478,0.449335573,9.398663254,23.27304001,-20.1454124,64.45504052
211,2.060546875,3.097224092,0.787378089,9.614477482,22.06928492,-16.28464785,51.87784826
212,2.0703125,3.25577396,0.699194941,9.517681017,20.38109777,-11.43494485,37.51264261
213,2.080078125,3.893049834,0.25558739,9.406243615,17.80597197,-14.35429154,34.09639981
214,2.08984375,4.267266033,-0.072130771,9.489899327,11.03556729,-26.84912636,40.37207418
215,2.099609375,4.288032389,-0.361539537,9.574715839,-0.18234506,-41.61609182,42.36049966
216,2.109375,4.325600847,-0.05626091,9.888102708,-6.098683514,-53.70282434,42.16469892
217,2.119140625,4.196424126,0.657516989,10.0759566,-13.35359455,-64.2609253,44.06474258
218,2.12890625,4.204691229,0.819970025,9.40466644,-18.06755996,-63.20436898,45.09290205
219,2.138671875,4.048505707,1.049248013,8.349604238,-20.74313928,-47.35488083,47.91024858
220,2.1484375,4.018560791,0.684179231,7.676855834,-13.51901253,-19.08773572,49.77293098
221,2.158203125,4.023190698,-0.130742464,8.33087447,12.02282206,5.490030134,43.14220129
222,2.16796875,3.969907353,-0.39288216,8.650799107,13.49883185,5.746173779,26.37143035
223,2.177734375,3.814783265,0.189902113,8.363070977,7.539947365,-1.958075084,3.674384902
224,2.1875,3.687645057,0.922851538,7.923174908,3.404311089,-1.04252759,-15.34370443
225,2.197265625,3.949092862,1.172541415,7.832459974,3.393798197,3.928626344,-23.0375219
226,2.20703125,4.046310768,1.247625783,8.118428732,2.271862231,10.25179917,-19.87518956
227,2.216796875,4.083562009,1.29962335,8.534610444,-4.061732921,5.541729961,-8.511752216
228,2.2265625,4.563814,0.901149404,8.669577295,-9.208593845,-7.287130398,2.089289253
229,2.236328125,5.158374686,0.505896539,8.703151067,-12.3751618,-18.78028535,15.48112682
230,2.24609375,5.217987019,0.483593833,8.548091833,-18.884885,-25.9821462,30.90642884
231,2.255859375,5.150202731,0.102333673,7.771942446,-22.32712916,-26.38273945,33.41657616
232,2.265625,4.870194769,0.323635706,7.610745972,-25.63361554,-14.63584005,28.5053656
233,2.275390625,4.612970609,0.886219933,8.059193734,-35.86822328,-5.007106102,22.56418287
234,2.28515625,4.721351083,0.956341899,8.569322668,-50.82616261,-6.483118427,21.80363368
235,2.294921875,4.609938968,0.797755285,8.801808924,-53.85605618,-4.999236359,24.93933633
236,2.3046875,4.12189139,0.618113969,8.657194478,-51.31177241,7.33855839,20.12192638
237,2.314453125,4.163551025,0.223309936,8.567701414,-45.59609523,11.98100438,17.32976683
238,2.32421875,4.45331463,-0.265715334,8.591509308,-41.68648434,15.42438267,15.32610851
239,2.333984375,4.088489008,0.193226912,8.962193175,-46.60245292,19.52861906,20.06513195
240,2.34375,3.611428658,0.562926085,9.261837035,-52.63451006,17.03549521,25.39236439
241,2.353515625,3.558286174,0.456140401,9.226639253,-46.1160112,17.16531646,24.50097767
242,2.36328125,3.34847925,0.294190007,8.996917325,-33.44309541,17.46488704,23.76517544
243,2.373046875,3.213668116,0.2721836,8.745012989,-24.84152867,10.62064622,24.094007
244,2.3828125,3.315499894,0.105977317,8.308110692,-21.69297262,9.62801155,20.77555699
245,2.392578125,3.001318862,0.215455137,8.10477793,-17.5498889,16.23495093,14.58928776
246,2.40234375,3.363005432,0.05755869,8.148955387,-9.946061956,20.48717742,2.798965189
247,2.412109375,3.784283853,-0.332922179,8.177563475,-1.387466604,25.17392419,-3.926492742
248,2.421875,3.821376129,-0.450500935,8.107322363,3.375067853,27.6881699,-8.026405753
249,2.431640625,4.05461634,-0.425021425,8.007842846,2.672333209,23.74231979,-9.52425856
250,2.44140625,4.00391577,-0.22841175,8.113899346,2.739004906,21.26671047,-6.32472784
251,2.451171875,3.853702096,-0.276530783,8.169182698,5.748947094,22.02029192,-4.085861898
252,2.4609375,3.883443014,-0.429843823,8.062065911,7.492500376,23.51644068,-4.44183243
253,2.470703125,3.383895119,-0.167253073,7.595492135,5.909991614,26.22080147,-4.132116374
254,2.48046875,2.769411406,0.180572982,6.921607974,5.357113502,29.10161303,-6.469098303
255,2.490234375,2.5810049,0.551143408,6.773390551,4.680519248,31.25965605,-5.046236799
256,2.5,2.330669896,0.745711602,6.931222792,4.485145854,31.39053736,2.911018039
257,2.509765625,2.576901293,0.037522311,6.524009341,5.090922042,30.59891075,3.775014954
258,2.51953125,2.850889947,-0.508567469,6.079893268,1.72201039,29.10562756,1.778486263
259,2.529296875,3.044629846,-1.330686699,5.394757104,-3.879618175,29.02601002,-4.234342803
260,2.5390625,3.277729358,-2.024314749,4.657030124,-10.57596979,33.53481137,-18.071267
261,2.548828125,3.732732097,-2.553760094,4.08059193,-24.62566594,33.11244452,-23.51180464
262,2.55859375,4.106161278,-3.50974171,3.231388504,-43.30393488,37.06058286,-16.62324346
263,2.568359375,2.881355211,-3.074717741,2.856782614,-69.71758746,39.00372839,2.124467227
264,2.578125,2.22578707,-3.612862336,2.812654449,-84.77308182,61.06260026,-7.314497056
265,2.587890625,2.562005338,-5.361654726,2.383439289,-95.23051103,84.9475874,-28.56766197
266,2.59765625,3.244886268,-6.448543227,1.66261834,-118.8760414,85.66886217,-36.89118631
267,2.607421875,3.587089642,-8.347717927,-0.465608069,-168.079869,75.53020506,-32.05908218
268,2.6171875,2.067900713,-9.074474849,-2.154259534,-232.7845431,57.52124505,-10.36966942
269,2.626953125,-1.134435412,-5.951119583,1.864190224,-297.2849639,42.87653041,23.54679419
270,2.63671875,-2.376006225,-6.43874032,5.82030674,-305.6720049,75.75689801,36.63429518
271,2.646484375,-0.17626396,-7.98442236,10.21729194,-258.6099565,153.0405957,2.784372842
272,2.65625,23.07027138,3.346304607,47.20558821,-367.6167655,-333.6071713,137.7271274
273,2.666015625,2.084907892,-19.36923442,6.64730374,37.3486183,-90.41598148,110.9194268
274,2.67578125,-8.723778923,8.588177426,-4.682641975,289.4940372,184.9562899,-64.36686268
275,2.685546875,-4.327483079,4.076962898,8.689874049,-71.00945317,13.2813504,17.69723837
276,2.6953125,7.808195752,-15.17154838,10.97926741,-140.6492246,-24.06407659,50.21290496
277,2.705078125,3.070740912,-2.641472886,13.25806835,-59.40408351,50.33882383,-25.8513541
278,2.71484375,2.196604963,-0.668117654,15.63406655,-80.91772313,82.45599192,-27.63915866
279,2.724609375,2.336795522,-2.796408917,14.4403514,-104.8057634,50.71317841,-15.28782705
280,2.734375,1.657139255,-1.496423663,11.54086928,-76.8514124,3.967463267,1.657543411
281,2.744140625,1.768977471,-1.796490618,10.50585395,-29.0559186,-1.333351853,16.4431151
282,2.75390625,2.203580937,-3.075979184,10.42149087,14.09156213,10.41054936,19.66665956
283,2.763671875,2.087655874,-3.351521079,10.20165548,33.02333158,14.92052995,17.31206551
284,2.7734375,2.251341624,-3.482747063,9.837062681,34.02692403,8.993933605,11.68296829
285,2.783203125,2.653829898,-3.698504201,9.550156524,23.63516522,0.600264905,6.850387857
286,2.79296875,2.63262415,-3.66715704,9.594190572,15.02461631,-2.310977506,3.773297528
287,2.802734375,2.653026588,-3.507355337,9.628084573,9.112305503,-1.964468103,1.770100074
288,2.8125,2.478565307,-3.108330358,9.672566667,6.927829358,0.424959538,2.075628483
289,2.822265625,2.454906731,-3.146214564,9.522535162,6.43568676,1.160380604,5.468519402
290,2.83203125,2.580395403,-3.200498537,9.472060257,8.358461545,1.949335673,8.133741977
291,2.841796875,2.60782843,-3.329893552,9.418604217,10.88137673,3.923281578,9.449023526
292,2.8515625,2.560993544,-3.491734634,9.4837846,13.76864326,5.290483364,11.13419742
293,2.861328125,2.442975315,-3.678866821,9.450474078,13.95483211,3.882243568,12.05558299
294,2.87109375,2.470176145,-3.896637351,9.193982927,12.15829716,1.623992631,10.2495373
295,2.880859375,2.513076289,-3.997529357,8.819132225,10.90370008,0.124771248,7.030081969
296,2.890625,2.670243346,-3.971008575,8.752583929,10.60616291,0.090679328,4.684275718
297,2.900390625,2.801023361,-3.913089139,8.876274701,9.875713757,1.669072774,3.945750963
298,2.91015625,2.744568953,-3.821532617,8.987218241,9.080658313,4.159490704,3.148377319
299,2.919921875,2.690254839,-3.811219319,8.918538819,9.19364784,6.058001496,2.353610363
